sentence,label
JAG2 is associated with Breast Neoplasms,1
"COL4A5 is associated with ALPORT SYNDROME 1, X-LINKED",1
HIC1 is associated with Polyps,1
APP is associated with Weight Gain,1
EIF3A is associated with Prostatic Neoplasms,1
FOLR1 is associated with Craniofacial Abnormalities,1
"NR1I2 is associated with BLEEDING DISORDER, PLATELET-TYPE, 21",0
"H19 is associated with Liver Neoplasms, Experimental",1
KIF5C is associated with Peripheral Nervous System Diseases,0
IFIH1 is associated with Graves Disease,1
CDK2 is associated with Embryo Loss,1
"DIO2 is associated with Carcinoma, Basal Cell",1
LMX1B is associated with HYPERALPHALIPOPROTEINEMIA 1,0
ICAM1 is associated with Colonic Neoplasms,1
"CTTN is associated with Carcinoma, Squamous Cell",1
QARS1 is associated with Coxsackievirus Infections,0
"LEP is associated with Diabetes Mellitus, Type 2",1
"MIR10A is associated with CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2L",0
RAMP2 is associated with Lymphatic Abnormalities,0
"EIF2B2 is associated with Osteopetrosis, Autosomal Recessive 6",0
"PLOD2 is associated with Arthritis, Juvenile",1
"BCL2 is associated with Adenocarcinoma, Clear Cell",1
AMN is associated with Acute Kidney Injury,1
"BAALC is associated with Leukemia, Myeloid, Acute",1
APOB is associated with Ataxia with vitamin E deficiency,1
"CTDP1 is associated with Congenital Cataracts, Facial Dysmorphism, And Neuropathy",1
"CHMP4B is associated with Cataract, posterior polar, 3",1
"ACOT1 is associated with Carcinoma, Ductal",0
KIFC1 is associated with Cysts,0
"NOS3 is associated with Hepatic Fibrosis, Congenital",0
CRX is associated with Leber Congenital Amaurosis,1
MAPKBP1 is associated with NEPHRONOPHTHISIS 20,1
"NF1 is associated with Hypercholanemia, Familial",0
"ROBO3 is associated with MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE",0
LGR5 is associated with Oliguria,0
JAG1 is associated with Bone Diseases,1
MYO5B is associated with Intestinal Diseases,1
"CST3 is associated with Ischemic Attack, Transient",0
"MIR92B is associated with SPASTIC PARAPLEGIA 56, AUTOSOMAL RECESSIVE, WITH OR WITHOUT PSEUDOXANTHOMA ELASTICUM",0
"HMMR is associated with Carcinoma, Hepatocellular",1
MIR217 is associated with Bardet-Biedl Syndrome 12,0
PLAUR is associated with Carcinoma,1
ESR2 is associated with Adenocarcinoma,1
CHRND is associated with Hypercalciuria,0
DPYD is associated with Complement component 5 deficiency,0
CTC1 is associated with Calcinosis,1
"GPX4 is associated with Meningitis, Meningococcal",0
ICAM5 is associated with Breast Neoplasms,1
"FAT2 is associated with CAPILLARY MALFORMATIONS, CONGENITAL",0
CTSD is associated with Weight Gain,1
AURKA is associated with Breast Neoplasms,1
AXIN2 is associated with Colorectal Neoplasms,1
PON2 is associated with Palmoplantar Hyperkeratosis with Squamous Cell Carcinoma of Skin and Sex Reversal,0
FAT1 is associated with Angiokeratoma,0
GAMT is associated with Multiple synostoses syndrome 2,0
MGME1 is associated with Mitochondrial Diseases,1
LTA is associated with Esophageal Squamous Cell Carcinoma,1
MYCN is associated with Chromosome Aberrations,1
PKMYT1 is associated with Language Disorders,0
CDH1 is associated with Neoplasm Seeding,1
"APP is associated with Aortic Aneurysm, Familial Thoracic 6",0
PRNP is associated with Huntington Disease-Like 1,1
GLI2 is associated with Obesity,0
GADD45A is associated with Pancreatic Neoplasms,1
IL6 is associated with HIV Wasting Syndrome,1
"COL6A1 is associated with Spondylitis, Ankylosing",0
JUN is associated with Breast Neoplasms,1
MYO18B is associated with Mesothelioma,1
CYP1B1 is associated with Vulvar Lichen Sclerosus,0
"CLU is associated with Spondyloepiphyseal Dysplasia, Kimberley Type",0
MIR411 is associated with Myocardial Reperfusion Injury,1
CA9 is associated with Ornithine Carbamoyltransferase Deficiency Disease,0
COL11A1 is associated with Intervertebral disc disease,1
ITGB2 is associated with Leukocyte-Adhesion Deficiency Syndrome,1
PYCR1 is associated with Prenatal Injuries,0
LHCGR is associated with Kyphosis,0
IFNG is associated with Cough,0
MICU1 is associated with MYOPATHY WITH EXTRAPYRAMIDAL SIGNS,1
RHOC is associated with Pulmonary Veno-Occlusive Disease,0
"CKM is associated with Stickler syndrome, type 1",0
CYP2S1 is associated with Autism Spectrum Disorder,1
PHOX2B is associated with Hypothermia,0
"MT1 is associated with Carcinoma, Squamous Cell",1
CHI3L1 is associated with Paroxysmal nonkinesigenic dyskinesia,0
NDUFAF2 is associated with Charcot-Marie-Tooth Disease,0
FNDC5 is associated with Osteogenesis Imperfecta Type VII,0
"INSIG1 is associated with Cone-Rod Dystrophy, X-Linked, 3",0
"ALOX5AP is associated with HYPERPIGMENTATION WITH OR WITHOUT HYPOPIGMENTATION, FAMILIAL PROGRESSIVE",0
"MPO is associated with Mental Retardation, X-Linked 94",0
DDIT4 is associated with Leukemia,1
METRNL is associated with Thyroid Neoplasms,0
PPARA is associated with Myocardial Reperfusion Injury,1
GUCY1A2 is associated with Flavivirus Infections,0
MMP9 is associated with Malaria,0
CYBA is associated with Liver Cirrhosis,1
BMP4 is associated with Fibroma,0
APOA4 is associated with Schizophrenia,1
ASPM is associated with Mitochondrial Myopathies,0
MACIR is associated with Premature Ovarian Failure 3,0
ERBB3 is associated with Juvenile-onset dystonia,0
ACADVL is associated with Renpenning syndrome 1,0
IKZF4 is associated with Vitiligo,1
KCNJ12 is associated with Lymphatic Metastasis,1
"FOS is associated with Usher syndrome, type 1F",0
"ATP7B is associated with Amelogenesis Imperfecta, Type III",0
"KRAS is associated with CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Q",0
KIR3DL1 is associated with HIV Infections,1
FASN is associated with Intellectual Disability,1
RPSA is associated with Adenocarcinoma of Lung,1
DNAAF11 is associated with Birth Weight,0
IL20RA is associated with RENAL-HEPATIC-PANCREATIC DYSPLASIA 1,0
"PRKN is associated with Disease Models, Animal",1
AHR is associated with Immune Complex Diseases,0
"MST1 is associated with AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6",0
CCND1 is associated with Carcinoma,1
"IGF2 is associated with Bone Diseases, Developmental",1
"CRLF2 is associated with ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 8",0
"EPO is associated with Tachycardia, Ventricular",1
"BMP7 is associated with CARDIOMYOPATHY, DILATED, 1II",0
CDC20 is associated with ACID-LABILE SUBUNIT DEFICIENCY,0
"MIR564 is associated with Craniometaphyseal dysplasia, autosomal recessive type",0
NOS2 is associated with Asbestosis,1
"IL1B is associated with DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT;DFNB36 DEAFNESS, AUTOSOMAL DOMINANT, WITHOUT VESTIBULAR INVOLVEMENT,",0
"CSRNP1 is associated with Cardiomyopathy, Dilated",1
KHSRP is associated with Small Cell Lung Carcinoma,1
"CCN1 is associated with Carcinoma, Hepatocellular",1
MYH9 is associated with Macrothrombocytopenia progressive deafness,1
FLT3 is associated with Thrombosis,1
"FLNA is associated with Heterotopia, Periventricular, Ehlers-Danlos Variant",1
"NUP205 is associated with Chromosome 1q21.1 Deletion Syndrome, 1.35-Mb",0
PTGS1 is associated with Glucocorticoid Receptor Deficiency,0
FAS is associated with Hypersplenism,1
MTNR1A is associated with Autism Spectrum Disorder,1
HNMT is associated with Peptic Ulcer Hemorrhage,0
IL6 is associated with Roifman-Chitayat Syndrome,0
AKR1B10 is associated with Neoplasm Invasiveness,1
PCSK5 is associated with Hyperthermia,0
ALDH1A3 is associated with Eosinophilic Esophagitis,0
MAD1L1 is associated with Prostatic Neoplasms,1
MIR221 is associated with Diabetic Cardiomyopathies,0
RPL15 is associated with DIAMOND-BLACKFAN ANEMIA 12,1
"NR5A2 is associated with Hypercholesterolemia, Autosomal Dominant, 3",0
PRDX2 is associated with Dysmenorrhea,0
LRRC10 is associated with Atrial Fibrillation,1
"KRT8 is associated with Liver Cirrhosis, Experimental",1
ATXN7 is associated with Dyskinesias,0
"GCAT is associated with Hyperglycinemia, Nonketotic",0
IL6 is associated with Miosis,0
KIT is associated with Rhabdomyoma,0
CYP2A6 is associated with Tobacco Use Disorder,1
"HSPA8 is associated with Carcinoma, Squamous Cell",1
CAV3 is associated with Tetralogy of Fallot,0
PODXL is associated with Prostatic Neoplasms,1
NFE2L2 is associated with Arteriovenous Malformations,0
KCNJ11 is associated with Congenital Hyperinsulinism,1
NPPB is associated with Facial Dermatoses,0
IFNA1 is associated with Activated Protein C Resistance,0
APOE is associated with AIDS-related Kaposi sarcoma,0
"ALB is associated with Liver Cirrhosis, Biliary",1
FGF3 is associated with Craniofacial Abnormalities,1
CYP2C8 is associated with Follicular Cyst,0
ARC is associated with Cocaine-Related Disorders,1
RAB32 is associated with Meningomyelocele,0
IRS1 is associated with Neuroectodermal Tumors,0
ATF4 is associated with Hypoxia,1
FN1 is associated with Birk-Barel Mental Retardation Dysmorphism Syndrome,0
NACA is associated with Atrial Fibrillation,1
JAK2 is associated with Pelizaeus-Merzbacher Disease,0
MAPK14 is associated with Myocardial Ischemia,1
PON1 is associated with Heart Failure,1
CFAP410 is associated with Amyotrophic Lateral Sclerosis,1
POLR1D is associated with Adenocarcinoma of Lung,1
"SALL3 is associated with Congenital Disorder Of Glycosylation, Type Im",0
CAV1 is associated with Granulomatosis with Polyangiitis,0
ARG1 is associated with Asthma,1
ALAS2 is associated with PREMATURE OVARIAN FAILURE 9,0
PTER is associated with LYMPHATIC MALFORMATION 7,0
"IGF2 is associated with Amaurosis congenita of Leber, type 2",0
AKT1 is associated with Hypotension,0
"NAXE is associated with ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY, 1",1
"CDKN1C is associated with Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies",1
CCL17 is associated with Acute Kidney Injury,0
"EGFR is associated with Infertility, Male",0
MMP2 is associated with Breast Neoplasms,1
ALDH6A1 is associated with Methylmalonate Semialdehyde Dehydrogenase Deficiency,1
NTRK2 is associated with Rhabdomyolysis,0
GATA4 is associated with ATAXIA-OCULOMOTOR APRAXIA 4,0
GJA1 is associated with Hepatitis B,0
GABRB3 is associated with MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA,0
MIR6869 is associated with Heart Failure,1
"NOS2 is associated with STICKLER SYNDROME, TYPE V",0
KBTBD11 is associated with Hemiplegia,0
CALM1 is associated with Hyperpigmentation,0
"RNPEP is associated with EPIPHYSEAL DYSPLASIA, MULTIPLE, 6",0
PTEN is associated with Skin Diseases,1
CACNA2D1 is associated with Lung Diseases,0
"RAPGEF2 is associated with MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1",0
CUL7 is associated with Autistic Disorder,1
IL18 is associated with Sarcoidosis,1
A is associated with Furunculosis,1
BCL2 is associated with Reperfusion Injury,1
DTNBP1 is associated with Hermanski-Pudlak Syndrome,1
CSF3 is associated with Hyperbilirubinemia,1
AMMECR1 is associated with DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 21,0
CBX2 is associated with Cerebrovascular Trauma,0
ADARB1 is associated with Polycystic Ovary Syndrome,1
MMP9 is associated with Cerebral Infarction,1
OTX2 is associated with Reticular dysgenesis,0
KCNMB1 is associated with BRUGADA SYNDROME 9,0
ABAT is associated with Lethargy,1
IAPP is associated with Short QT Syndrome 1,0
"PDHA1 is associated with Dystonia, Dopa-responsive",0
"PDE8B is associated with MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10",0
ABCC2 is associated with Cardiomyopathies,1
GCG is associated with TRITANOPIA,0
CHD2 is associated with Autism Spectrum Disorder,1
POR is associated with Gliosarcoma,1
SATB2 is associated with Factor X Deficiency,0
"REEP2 is associated with SPASTIC PARAPLEGIA 72A, AUTOSOMAL DOMINANT",1
"FLI1 is associated with Sarcoma, Ewing",1
KRAS is associated with Noonan Syndrome,1
"CGREF1 is associated with Maturity-Onset Diabetes of the Young, Type 8, with Exocrine Dysfunction",0
"COLEC11 is associated with Blood Loss, Surgical",0
"KIT is associated with SPASTIC PARAPLEGIA 74, AUTOSOMAL RECESSIVE",0
ACHE is associated with Muscular Dystrophies,1
"KIF1A is associated with NEUROPATHY, HEREDITARY SENSORY, TYPE IIC",1
LDLR is associated with Non-alcoholic Fatty Liver Disease,1
"HSPA9 is associated with Anemia, Sideroblastic",1
CSF2 is associated with Pneumonia,1
GATA3 is associated with Carcinogenesis,1
"LEPR is associated with Diabetes Mellitus, Experimental",1
HP is associated with Ectodermal Dysplasia,0
